출원번호,출원일,사무소,대리인,MainCPC,클러스터_v1,클러스터_v2,발명명칭
1020250074101,20250605,김앤장,이호준,G16H 20/10,C0,A 선행인용형,개인 맞춤형 건강 관리 정보 제공을 위한 사용자 인터페이스를 구비한 컴퓨터 장치¶개인 맞춤형 건강 관리 정보 제공을 위한 사용자 인터페이스를 구비한 컴퓨터 장치{COMPUTER DEVICE HAVING USER INTERFACE FOR PROVIDING PERSONALIZED HEALTH MANAGEMENT INFORMATION}
1020250072981,20250604,김앤장,김성남,H03K 5/15	(2006.01),C1,C 간접·표준형,클럭 생성 회로 및 이를 포함하는 전압 생성 회로
1020250069469,20250528,김앤장,김성환,B65H 41/00,C4,B 직접과제형,스폰지테이프의 박리지 분리장치가 포함된 테이핑헤드¶스폰지테이프의 박리지 분리장치가 포함된 테이핑헤드{Taping head with peeling device of release paper from sponge tape}
1020250069781,20250528,김앤장,이석재,A47B 97/00	(2006.01),C4,JP 번역체(v2제외),영상기기 삽입형 상부 개폐용 칠판
1020250068973,20250527,김앤장,김기호,A61H 15/00	(2006.01),C2,C 간접·표준형,안마 기능이 구비된 슬라이딩 소파¶안마 기능이 구비된 슬라이딩 소파{Sliding sofa with massage function}
1020250068250,20250526,김앤장,이재훈,B61L 1/18	(2006.01),C4,C 간접·표준형,2중계 무절연 AF 궤도회로 및 이를 이용한 모니터링 방법¶2중계 무절연 AF 궤도회로 및 이를 이용한 모니터링 방법{Two-stream insulation-free audible frequency trajectory circuit device and a train occupancy detection method using it}
1020250068270,20250526,김앤장,이재훈,B61L 1/18	(2006.01),C4,B 직접과제형,2중계 무절연 가청주파수 궤도회로 장치 및 이를 이용한 열차 점유 검지 방법¶2중계 무절연 가청주파수 궤도회로 장치 및 이를 이용한 열차 점유 검지 방법{Two-stream insulation-free audible frequency trajectory circuit device and a train occupancy detection method using it}
1020250065226,20250520,김앤장,조경화,A61K 35/28	(2015.01),C2,JP 번역체(v2제외),"자가 골수 흡인 농축물을 유효 성분으로 하는 연골 재생, 관절염 치료 조성물 추출방법 및 그 조성물¶자가 골수 흡인 농축물을 유효 성분으로 하는 연골 재생, 관절염 치료 조성물 추출방법 및 그 조성물{Cartilage regeneration, arthritis treatment composition extraction method using bone marrow aspirate concentrate as an active ingredient, and composition thereof}"
1020250061058,20250512,김앤장,김현진,C08K 5/521,C1,A 선행인용형,다기능성 첨가제를 함유하는 폴리우레탄 발포체 조성물¶다기능성 첨가제를 함유하는 폴리우레탄 발포체 조성물{Polyurethane form composition containing multi-functional additives}
1020250056117,20250429,김앤장,김현진,G01W 1/10	(2006.01),C4,A 선행인용형,격자형 낙뢰예상시스템
1020250055454,20250428,김앤장,김기호,E01D 21/00	(2006.01),C4,B 직접과제형,관로 및 선로 유지관리가 용이한 보도교
1020250045866,20250409,김앤장,김현진,H04W 12/06	(2021.01),C2,A 선행인용형,제어함체의 유지관리를 위한 보안화 시스템
1020250045328,20250408,김앤장,김현진,C04B 26/16	(2006.01),C4,A 선행인용형,"투수성 구조체 조성물, 이를 이용하는 사면 보호 구조물 및 그 시공방법¶투수성 구조체 조성물, 이를 이용하는 사면 보호 구조물 및 그 시공방법{Water-permeable structure composition, Structure for protecting slope using the same and Construction method thereof}"
1020250045329,20250408,김앤장,김현진,E02B 3/12	(2006.01),C4,A 선행인용형,"다공성 기초블록, 이를 이용하는 제방 보호 구조물 및 그 시공방법¶다공성 기초블록, 이를 이용하는 제방 보호 구조물 및 그 시공방법{Porous base block, Structure for protecting embankment using the same and Construction method thereof}"
1020250043415,20250403,김앤장,김현진,H04W 24/04	(2009.01),C4,A 선행인용형,무선통신시스템 구축/유지보수를 위한 통합관리시스템¶무선통신시스템 구축/유지보수를 위한 통합관리시스템{An Intergrated Control System for Constructing and Managing Wireless Communication System}
1020250042688,20250402,김앤장,이정석,G06Q 50/22	(2024.01),C4,JP 번역체(v2제외),블록체인에 기반하여 장애인 활동 지원 제도에서의 부정 수급을 방지하기 위한 장치 및 방법
1020250039521,20250327,김앤장,김기호,G08G 1/097	(2006.01),C0,A 선행인용형,통신기능을 갖춘 바닥형 보행신호등의 표출부에 대한 고유번호 및 종단저항 설정 시스템
1020250038915,20250326,김앤장,이승희,B05B 17/08	(2006.01),C4,B 직접과제형,분수대용 블럭 조립체 및 이를 포함하는 분수대
1020250037911,20250325,김앤장,김현진,H01M 10/663	(2014.01),C4,A 선행인용형,실내 순환 공조기능을 가진 ESS시스템
1020250035362,20250319,김앤장,조경화,F17C 13/12	(2006.01),C4,B 직접과제형,자동 주수 시스템¶자동 주수 시스템{Automated Water Injection System}
1020250031908,20250312,김앤장,이재훈,E04F 13/0821,C1,B 직접과제형,마감패널 결합구조체¶마감패널 결합구조체{FINISHING PANEL CONNECTING STRUCTURE}
1020250031730,20250311,김앤장,이승현,A62C 3/07,C4,A 선행인용형,차량 소화장치¶차량 소화장치{a vehicle fire extinguisher}
1020250029232,20250306,김앤장,이승희,B63B 79/30	(2020.01),C4,B 직접과제형,선박 엔진의 탑 브레이싱 장치의 오류 검출 시스템
1020250029237,20250306,김앤장,이승희,B63B 79/30	(2020.01),C4,B 직접과제형,선박 엔진의 탑 브레이싱 장치의 오류 검출 시스템
1020250027306,20250304,김앤장,김기호,E01D 19/06	(2006.01),C4,B 직접과제형,교량 신축이음부 연동형 배수설비
1020250027018,20250228,김앤장,김성남,G06F 30/3312	(2020.01),C2,C 간접·표준형,외삽에 자유로운 특성화를 위한 반도체 설계 방법 및 이를 수행하는 컴퓨팅 시스템
1020250023388,20250224,김앤장,이정석,G06Q 10/0639	(2023.01),C4,JP 번역체(v2제외),보안 규격 준수 평가를 자동화하는 장치 및 방법
1020250022676,20250221,김앤장,이호준,G06Q 50/16,C0,C 간접·표준형,임대차 계약 관리 및 리워드 지급 시스템{RENTAL CONTRACT MANAGEMENT AND REWARD PAYMENT SYSTEM}
1020250022013,20250220,김앤장,김현진,H02S 50/00,C4,A 선행인용형,스트링별 절연저항의 진단이 가능한 태양광발전시스템¶스트링별 절연저항의 진단이 가능한 태양광발전시스템{A Photovoltaic System Capable of Diagnosing Insulation Resistance of Each String}
1020250021589,20250219,김앤장,김현진,H02S 50/00	(2014.01),C4,A 선행인용형,스트링별 릴레이 제어가 가능한 태양광발전시스템
1020250020638,20250218,김앤장,김지우,G16C 20/50,C2,C 간접·표준형,항바이러스제 제조 방법 및 장치¶항바이러스제 제조 방법 및 장치{METHOD AND DEVICE FOR MANUFACTURING ANTIVIRAL AGENT}
1020250019059,20250214,김앤장,이승현,E06B 3/273	(2006.01),C4,A 선행인용형,다중압착구조 단열 미서기 창호
1020250019062,20250214,김앤장,이승현,E06B 3/273	(2006.01),C4,A 선행인용형,다중압착구조 내진 단열 미서기 창호
1020250016414,20250210,김앤장,이승희,G01N 3/06	(2006.01),C4,B 직접과제형,슈미트 해머 타격점 표시장치
1020250016419,20250210,김앤장,이승희,G01N 21/78	(2006.01),C4,A 선행인용형,콘크리트 구조물의 중성화 측정장치
1020250015013,20250206,김앤장,이재훈,G01R 31/36,C2,A 선행인용형,에너지 저장소자의 성능평가 장치¶에너지 저장소자의 성능평가 장치{Performance Evaluation Device for Energy Storage Devices}
1020250013665,20250204,김앤장,김기호,F21S 4/22	(2016.01),C4,B 직접과제형,플랙시블 LED를 이용한 태양광 울타리 경관조명 시스템
1020250010058,20250123,김앤장,김성환,G01M 3/34	(2006.01),C4,B 직접과제형,"LNG 선박 화물창의 1차 방벽 용접부에 대한 기밀측정용 베큠박스 및 이를 이용한 기밀측정 시스템¶LNG 선박 화물창의 1차 방벽 용접부에 대한 기밀측정용 베큠박스 및 이를 이용한 기밀측정 시스템{Vacuum box for airtight measurement on the welding part of the primary barrier for cargo hold of LNG ship, and the airtight measurement system using thereof}"
1020250010357,20250123,김앤장,김기호,G08G 1/095	(2006.01),C4,B 직접과제형,시공이 용이한 부착형 차량용 LED 교통 신호등
1020250009540,20250122,김앤장,이호준,G06F 40/58	(2020.01),C0,B 직접과제형,지리시간적 정보를 활용한 다국어 번역 시스템
1020250006857,20250116,김앤장,김성남,G11C 7/10	(2021.01),C4,B 직접과제형,출력 제어 회로 및 이를 포함하는 반도체 장치
1020250006876,20250116,김앤장,김성남,G11C 7/22	(2015.01),C2,C 간접·표준형,"위상 보정 회로, 이를 포함하는 클럭 버퍼 및 반도체 장치"
1020250003324,20250109,김앤장,김기호,E01B 29/02	(2006.01),C4,B 직접과제형,철도 분기기 교체 시공방법
1020250003486,20250109,김앤장,이승현,E01C 5/00	(2006.01),C4,A 선행인용형,변형 방지 보강 및 유지 보수가 용이한 구조를 갖는 데크 시스템과 이의 시공방법
1020250002984,20250108,김앤장,김성남,G06F 3/0616,C2,C 간접·표준형,"중복되는 논리어드레스에 대한 라이트 데이터를 관리하는 데이터 저장 장치 및 그 동작 방법, 이를 위한 메모리 컨트롤러{Data Storage Apparatus for Managing Write Data Having Overlapped Logical Address and Operation Method Thereof, Memory Controller Therefor}"
1020250001379,20250106,김앤장,김기호,F21S 9/03	(2006.01),C4,B 직접과제형,태양광을 이용한 울타리 경관조명 시스템
1020250001380,20250106,김앤장,김기호,C02F 1/52	(2006.01),C2,C 간접·표준형,공간 효율이 향상된 폐수 처리 시스템
1020250001638,20250106,김앤장,김성남,G06F 3/0604,C4,B 직접과제형,"플러그 가능 메모리 장치, 메모리 어플라이언스 및 이를 포함하는 컴퓨팅 시스템{PLUGGABLE MEMORY DEVICE, MEMORY APPLIANCE AND COMPUTING SYSTEM INCLUDING THE MEMORY APPLIANCE}"
1020250000281,20250102,김앤장,김기호,E04F 15/02	(2006.01),C4,B 직접과제형,판재 고정용 클립부재
1020250000286,20250102,김앤장,김기호,E04H 17/00	(2006.01),C4,B 직접과제형,울타리 지주용 태양광 상부캡
1020240198168,20241227,김앤장,조경화,G06F 30/27,C2,C 간접·표준형,생성형 ＡＩ를 활용한 스마트 팩토리 2Ｄ 레이아웃 도면 컨셉 설계 장치{Apparatus for Designing 2D Layout Drawing Concept for Smart Factory Using Generative AI}
1020240194054,20241223,김앤장,이재훈,B61L 27/20	(2024.01),C4,B 직접과제형,KTCS-2 RBC간 핸드오버 시 링킹정보를 활용한 이동권한 생성 장치 및 방법
1020240194093,20241223,김앤장,이재훈,B61L 27/20	(2024.01),C4,B 직접과제형,지장물 검지장치에 의한 RBC의 이동권한 제한 시스템 및 방법
1020240193053,20241220,김앤장,이호준,G06F 9/451	(2018.01),C0,B 직접과제형,시각적 데이터 활용 인공지능 기반 다국어 대응 시스템
1020240190656,20241219,김앤장,김현진,H02S 30/10	(2014.01),C4,A 선행인용형,방수형 태양광발전장치¶방수형 태양광발전장치{A Waterproof Type Photovoltaic Device}
1020240190635,20241218,김앤장,김지우,A23K 20/121,C2,C 간접·표준형,반추 동물의 메탄 생성 억제용 조성물{COMPOSITION FOR INHIBITING METHANE PRODUCTION IN RUMINANT ANIMAL}
1020240188076,20241217,김앤장,이호준,G06F 16/93	(2019.01),C0,C 간접·표준형,인공지능 모델의 학습을 위한 클라우드 기반의 문서 관리 시스템¶인공지능 모델의 학습을 위한 클라우드 기반의 문서 관리 시스템{CLOUD BASED DOCUMENT MANAGEMENT SYSTEM FOR TRANING ARTIFICIAL INTELLIGENCE MODELS}
1020240186557,20241213,김앤장,김지우,G16C 20/10,C2,C 간접·표준형,표적 물질 조절 제제 제조 방법 및 장치{METHOD AND DEVICE FOR MANUFACTURING TARGET SUBSTANCE CONTROL AGENT}
1020240184814,20241212,김앤장,김기호,A61H 15/02	(2006.01),C4,B 직접과제형,안마모듈의 교체 및 운송이 용이한 마사지 침대 매트리스
1020240182983,20241210,김앤장,김성남,H10B 41/20	(2023.01),C2,C 간접·표준형,"3차원 필라 타입 축전기 방식 인-메모리 컴퓨팅 소자 및 그 제조 방법과, 이를 이용한 인-메모리 컴퓨팅 장치"
1020240179428,20241205,김앤장,김기호,A61H 15/00	(2006.01),C4,B 직접과제형,마사지 기능이 구비된 침대 매트리스
1020240179658,20241205,김앤장,이승현,A62C 3/07	(2006.01),C4,A 선행인용형,차량 화재 소화장치
1020240177061,20241203,김앤장,이재훈,A01M 9/00	(2014.01),C4,A 선행인용형,입제 살포기
1020240176503,20241202,김앤장,이재훈,B61L 27/20	(2024.01),C4,B 직접과제형,가상블럭을 활용한 이동권한 생성 시스템 및 방법
1020240170340,20241126,김앤장,이재훈,G08B 13/22	(2006.01),C4,B 직접과제형,AI 기반 광섬유 분포 음향 계측 기술과 PTZ CCTV 기술을 활용한 경계 침입 감시 시스템 및 방법
1020240170375,20241126,김앤장,김성남,C23C 16/455	(2006.01),C2,C 간접·표준형,기판 처리 장치
1020240168043,20241122,김앤장,이승현,A47B 47/04	(2006.01),C4,A 선행인용형,수납가구 및 이의 조립방법
1020240167890,20241121,김앤장,이석재,B08B 5/02	(2006.01),C4,JP 번역체(v2제외),확산 방지 기능을 갖는 파티클 제거 장치
1020240161539,20241114,김앤장,이승희,H01M 50/107,C2,C 간접·표준형,원통형 이차전지 캔 및 그 제조방법¶원통형 이차전지 캔 및 그 제조방법{The cylindrical can of secondary battery and its manufacturing method}
1020240158886,20241111,김앤장,이승현,C04B 28/02	(2006.01),C1,A 선행인용형,내화피복재 조성물
1020240157760,20241108,김앤장,이재훈,B65D 5/20	(2025.01),C4,JP 번역체(v2제외),냉장고 레일 보관용 포장 박스
1020240156627,20241106,김앤장,이호준,H05K 7/20	(2006.01),C0,B 직접과제형,데이터 센터를 위한 외기 냉각 시스템
1020240154928,20241105,김앤장,이승현,E01F 8/0023,C4,B 직접과제형,혼합형 방음벽 패널¶혼합형 방음벽 패널{Mixed soundproof wall panel}
1020240150653,20241030,김앤장,이승현,B21D 3/16	(2006.01),C4,A 선행인용형,드릴파이프 교정장치
1020240147229,20241025,김앤장,이재훈,H01M 10/6567	(2014.01),C4,B 직접과제형,액침 냉각 방식 에너지 저장 장치 함체
1020240146657,20241024,김앤장,이승현,E02D 3/10	(2006.01),C4,B 직접과제형,연약지반 드레인보드의 코어구조
1020240143906,20241021,김앤장,김기호,G08G 1/095	(2006.01)¶G08G 1/095	(2013.01),C4,B 직접과제형,바닥형 보행신호등 표출부에 LED광원을 이용한 광섬유 바닥형 신호등 시스템
1020240144330,20241021,김앤장,김성남,G11C 7/222,C2,C 간접·표준형,반도체 장치 및 반도체 시스템{SEMICONDUCTOR DEVICE AND SEMICONDUCTOR SYSTEM}
1020240144334,20241021,김앤장,김성남,G11C 7/222,C2,C 간접·표준형,"반도체 장치, 반도체 시스템, 및 반도체 시스템의 동작 방법{SEMICONDUCTOR DEVICE, SEMICONDUCTOR SYSTEM, AND OPERATING METHOD OF SEMICONDUCTOR SYSTEM}"
1020240141025,20241016,김앤장,김현진,H02S 50/10	(2014.01),C4,A 선행인용형,태양광모듈 불평형 진단시스템
1020240141026,20241016,김앤장,김현진,G01R 27/02	(2006.01),C4,A 선행인용형,절연저항을 이용한 화재진단시스템
1020240141027,20241016,김앤장,김현진,H02S 50/00	(2014.01),C2,A 선행인용형,스트링 특성을 활용한 태양광 발전 감시시스템
1020240141028,20241016,김앤장,김현진,H02S 50/10	(2014.01),C4,A 선행인용형,BIPV모듈 불평형 모니터링시스템
1020240141029,20241016,김앤장,김현진,G08B 21/18	(2006.01),C4,A 선행인용형,BIPV 화재감시시스템
1020240141030,20241016,김앤장,김현진,H02S 50/00	(2014.01),C4,A 선행인용형,스트링 특성을 활용한 BIPV 감시시스템
1020240138275,20241011,김앤장,이승현,H01M 10/4207,C4,A 선행인용형,전기차용 배터리팩의 보관 및 운반용 박스¶전기차용 배터리팩의 보관 및 운반용 박스{Box for storage and transportation of battery packs for electric vehicles}
1020240137757,20241010,김앤장,이석재,A62C 3/07	(2006.01),C4,JP 번역체(v2제외),전기차 화재 확산 방지용 내열 방화벽
1020240136579,20241008,김앤장,조경화,A47L 15/24	(2006.01),C4,B 직접과제형,식판 자동 세척장치
1020240135754,20241007,김앤장,김기호,B63B 21/50	(2006.01),C4,B 직접과제형,부유식 수상 태양광 계류 시스템
1020240134659,20241004,김앤장,이재훈,G01R 31/392	(2019.01),C2,C 간접·표준형,가진원을 갖는 광센서 복합형 고장진단 장치 및 그 방법¶가진원을 갖는 광센서 복합형 고장진단 장치 및 그 방법{Optical sensor composite fault diagnosis device with an excitation source and its method}
1020240134011,20241002,김앤장,김성남,G06F 3/0604,C2,C 간접·표준형,맵 데이터를 효율적으로 관리하는 데이터 저장 장치 및 그 동작 방법{Data Storage Apparatus to Efficiently Managing Map Data and Operating Method Thereof}
1020240134063,20241002,김앤장,김성남,G06F 3/06	(2006.01),C2,C 간접·표준형,데이터 버퍼를 효율적으로 사용하는 데이터 저장 장치 및 이를 위한 메모리 컨트롤러와 그 동작 방법
1020240132832,20240930,김앤장,김성남,H01L 21/67	(2006.01),C4,A 선행인용형,이온 펄스 에어 분사 장치 및 이를 이용한 건식 세정 시스템 및 방법
1020240127019,20240920,김앤장,이승현,A62C 3/16	(2006.01),C4,A 선행인용형,배터리팩 소화장치와 이를 이용한 배터리팩 소화 및 격리방법
1020240123847,20240911,김앤장,이승희,H02G 11/00,C4,A 선행인용형,케이블 안내장치{A CLAMP AND A CABLES GUIDING DEVICE COMPRISING OF THE SAME}
1020240123856,20240911,김앤장,이승희,H02G 11/00,C4,A 선행인용형,케이블 안내장치{A CLAMP AND A CABLES GUIDING DEVICE COMPRISING OF THE SAME}
1020240124138,20240911,김앤장,김성남,G11C 5/147,C2,C 간접·표준형,파워 게이팅 회로 및 이를 포함하는 반도체 장치¶파워 게이팅 회로 및 이를 포함하는 반도체 장치{POWER GATING CIRCUIT AND SEMICONDUCTOR APPARATUS INCLUDING THE SAME}
1020240124143,20240911,김앤장,김성남,G11C 29/808,C2,C 간접·표준형,리페어 확인 회로 및 이를 포함하는 반도체 장치¶리페어 확인 회로 및 이를 포함하는 반도체 장치{REPAIR CHECKING CIRCUIT AND SEMICONDUCTOR APPARATUS INCLUDING THE SAME}
1020240124184,20240911,김앤장,김성남,G11C 7/222,C2,C 간접·표준형,반도체 장치 및 반도체 시스템의 클럭 주파수 변경¶반도체 장치 및 반도체 시스템의 클럭 주파수 변경 {CLOCK FREQUENCY CHANGE OF A SEMICONDUCTOR PPARATUS AND A SEMICONDUCTOR SYSTEM}
1020240122758,20240910,김앤장,이재훈,G06Q 50/10	(2012.01),C4,C 간접·표준형,현장 맞춤 이동형 스마트 안전정밀진단 센서 스테이션 및 작동 방법¶현장 맞춤 이동형 스마트 안전정밀진단 센서 스테이션 및 작동 방법{Site customized smart safety precision diagnosis sensor station and the method of it}
1020240122761,20240910,김앤장,이재훈,G01D 5/353	(2006.01),C4,B 직접과제형,핸드캐리용 DAS 시스템 및 이의 운용 방법
1020240122768,20240910,김앤장,이재훈,G08B 13/16	(2006.01),C4,B 직접과제형,재난안전 침입감시 시스템 및 이를 이용한 침입 감시 방법
1020240121976,20240908,김앤장,김지우,A61K 9/08	(2006.01),C4,B 직접과제형,안정화된 펩타이드 액상 조성물
1020240120852,20240905,김앤장,이호준,H02J 13/00	(2006.01),C0,B 직접과제형,데이터 센터의 전력 설비 복구 방법
1020240119940,20240904,김앤장,김현진,A61H 5/00,C4,A 선행인용형,틱 장애인용 안경¶틱 장애인용 안경{A glasses for Tic symptom}
1020240120406,20240904,김앤장,김지우,A61K 9/08,C4,B 직접과제형,안정화된 펩타이드 액상 조성물¶안정화된 펩타이드 액상 조성물{STABILIZED PEPTIDE LIQUID COMPOSITION}
1020240118555,20240902,김앤장,김성남,G06F 3/0604,C2,C 간접·표준형,메모리 시스템 및 메모리 시스템의 동작 방법¶메모리 시스템 및 메모리 시스템의 동작 방법{MEMORY SYSTEM AND OPERATING METHOD OF MEMORY SYSTEM}
2020240001613,20240831,김앤장,김성환,H01L 23/40	(2006.01),C4,B 직접과제형,2개의 접시스프링을 체결한 사이리스터 고정장치
1020240117737,20240830,김앤장,조경화,A61B 5/14532,C4,B 직접과제형,손목 시계형 비침습 혈당 측정 장치¶손목 시계형 비침습 혈당 측정 장치{Apparatus for Measuring Non Invasive Blood Type Wrist watch}
1020240117747,20240830,김앤장,조경화,A61B 5/1495,C2,C 간접·표준형,피부 관련된 정보의 보정을 위한 비침습 혈당 측정 장치¶피부 관련된 정보의 보정을 위한 비침습 혈당 측정 장치{Apparatus for Measuring Non Invasive Blood for Skin Related Data Correction}
1020240116922,20240829,김앤장,조경화,A61B 5/14532,C4,B 직접과제형,고분해능 불연속 광원을 이용한 비침습 혈당 측정 장치¶고분해능 불연속 광원을 이용한 비침습 혈당 측정 장치{Apparatus for Measuring Non Invasive Blood Glucose Using Discrete Light Source High Resolution}
1020240115385,20240827,김앤장,김현진,G06Q 50/10,C2,A 선행인용형,동물체험농장 운영시스템¶동물체험농장 운영시스템{A Managing System for Animal Experience Farm}
1020240113302,20240823,김앤장,김현진,G06Q 50/02,C1,A 선행인용형,인공지능을 이용한 관상용 해조류 양식 시스템¶인공지능을 이용한 관상용 해조류 양식 시스템{System for farming ornamental seaweed using artificial intelligence}
1020240111087,20240820,김앤장,이재훈,B23P 6/04	(2006.01),C4,A 선행인용형,실린더 블록 헤드볼트의 볼트홀 복원방법
1020240109674,20240816,김앤장,김성남,H01L 21/768	(2006.01),C2,C 간접·표준형,금속 박막의 형성방법
1020240108732,20240814,김앤장,이승현,A01D 82/00,C4,A 선행인용형,농작물 줄기 분쇄배출장치의 제어방법 및 제어장치¶농작물 줄기 분쇄배출장치의 제어방법 및 제어장치{Control method and control device of crop stem crushing and discharging device}
1020240109035,20240814,김앤장,이재훈,A23L 13/20	(2016.01),C1,A 선행인용형,즉석조리용 컵순대국의 제조방법 및 이에 의해 제조된 즉석조리용 컵순대국
1020240109166,20240814,김앤장,김성남,G05F 1/466,C2,C 간접·표준형,레귤레이터¶레귤레이터{REGULATOR}
1020240107945,20240813,김앤장,이승현,G08G 1/0955,C4,A 선행인용형,차선 안내장치¶차선 안내장치{a lane guidance system}
1020240108006,20240813,김앤장,김기호,B01D 29/05,C4,B 직접과제형,수소 추출형 발전장비용 여과장치 및 그 제작방법¶수소 추출형 발전장비용 여과장치 및 그 제작방법{Filter device for hydrogen extraction power generation equipment and its manufacturing method}
1020240108238,20240813,김앤장,김성남,H10B 12/50,C2,C 간접·표준형,반도체 집적 회로 장치¶반도체 집적 회로 장치{Semiconductor Integrated Circuit Device}
1020240107417,20240812,김앤장,이재훈,A23L 13/20	(2016.01),C4,A 선행인용형,소시지형 순대의 제조방법 및 이에 의해 제조된 소시지형 순대
1020240106675,20240809,김앤장,김시연,H01M 10/0567	(2010.01),C1,C 간접·표준형,"이차전지용 전해액 첨가제, 이를 포함하는 리튬 이차전지용 비수 전해액, 및 이를 포함하는 리튬 이차전지"
1020240106815,20240809,김앤장,이호준,G06F 16/583	(2019.01),C0,A 선행인용형,이미지에 대한 검색 엔진 최적화 방법
1020240106949,20240809,김앤장,김성남,H10P 72/0604,C4,B 직접과제형,기판 처리 시스템 및 이를 이용한 기판 처리 방법¶기판 처리 시스템 및 이를 이용한 기판 처리 방법{System for processing substrate and method for processing substrate using the same}
1020240105983,20240808,김앤장,이승현,D02G 3/045,C1,A 선행인용형,내절단성 및 균제도가 우수한 애슬레저웨어용 혼합방적사 및 그 제조방법¶내절단성 및 균제도가 우수한 애슬레저웨어용 혼합방적사 및 그 제조방법{Complex spun yarn for athleisure wear with excellent cut resistance and uniformity and its manufacturing method}
1020240105187,20240807,김앤장,이재훈,G01R 31/40	(2014.01),C4,B 직접과제형,누설인덕턴스 전류 변화를 이용한 제어를 통한 DAB 컨버터 내부 자성부품 파라미터 계산 시스템 및 이를 이용한 계산 방법¶누설인덕턴스 전류 변화를 이용한 제어를 통한 DAB 컨버터 내부 자성부품 파라미터 계산 시스템 및 이를 이용한 계산 방법{DAB converter internal magnetic component parameter calculation system and calculation method using leakage inductance current change}
1020240105199,20240807,김앤장,이재훈,H02M 3/33507,C2,C 간접·표준형,누설인덕턴스 전류변화를 이용한 DAB 컨버터의 제어 시스템 및 방법¶누설인덕턴스 전류변화를 이용한 DAB 컨버터의 제어 시스템 및 방법{Control system and method of DAB converter using leakage inductance current change}
1020240105223,20240807,김앤장,이석재,B07C 5/20	(2006.01),C4,JP 번역체(v2제외),중량 계측 장치의 기준값 갱신을 통한 계측 정밀도 증대 시스템 및 방법
